nodeid,nodename,citycode
NAT010239,안양,31
NAT010415,수원,31
NAT020524,양평,31
NAT013747,상동,38
NAT013841,밀양,38
NAT880310,창원,38
NAT8B0737,영덕,37
NAT012546,김천,37
NAT012775,구미,37
NAT012968,왜관,37
NAT882936,서광주,24
NAT883012,광주,24
NAT013239,대구,22
NAT013271,동대구,22
NAT011668,대전,25
NAT030057,서대전,25
NAT030173,흑석리,25
NAT014445,부산,21
NAT750189,신해운대,21
NAT010000,서울,11
NAT010032,용산,11
NAT010058,노량진,11
NAT010091,영등포,11
NAT010106,신도림,11
NAT011298,조치원,12
NATH13717,울산(통도사),26
NAT750726,태화강,26
NATC30058,인천공항T2,23
NATC10580,인천공항T1,23
NAT031998,나주,36
NAT032273,무안,36
NAT032313,몽탄,36
NAT032563,목포,36
NAT030879,익산,35
NAT031056,김제,35
NAT040257,전주,35
NAT010971,천안,34
NAT030254,계룡,34
NAT030508,논산,34
NAT080045,아산,34
NAT012124,영동,33
NAT012355,추풍령,33
NAT021549,제천,33
NATN10230,횡성,32
NATN10625,평창,32
NAT021082,원주,32
